time;lat;lon;alt;roll;pitch;head;ub;nsat
<<<<<<< HEAD
09:08:03.03;44.933209;37.338788;487.78;0.028;0.037;-0.892;0;0
09:08:03.64;44.933234;37.338701;488.398;0.038;0.028;-0.894;0;0
09:08:04.05;44.933308;37.338722;490.773;0.038;0.023;-0.894;0;0
09:08:04.65;44.933281;37.338652;492.547;0.024;0.016;-0.895;0;0
09:08:05.06;44.933265;37.338597;493.719;0.01;0.016;-0.895;0;0
09:08:05.66;44.933257;37.338638;495.493;0.026;0.023;-0.897;0;0
09:08:06.14;44.933253;37.338664;496.689;0.012;0.03;-0.899;0;0
09:08:06.56;44.933185;37.338774;497.276;0.009;0.031;-0.897;0;0
09:08:08.21;44.9333;37.33909;502.617;0.007;0.044;-0.895;0;0
09:08:08.82;44.932927;37.338659;504.406;0.017;0.019;-0.895;0;0
09:08:09.23;44.932706;37.338406;506.152;0.014;0.033;-0.895;0;0
09:08:09.83;44.932588;37.338055;507.261;0.007;0.042;-0.895;0;0
09:08:10.24;44.932503;37.337803;508.737;0.009;0.033;-0.895;0;0
09:08:10.84;44.932399;37.337598;509.973;0.021;0.026;-0.897;0;0
09:08:11.24;44.932304;37.33736;510.675;-0.0;0.03;-0.895;0;0
09:08:11.85;44.932213;37.337093;511.567;-0.003;0.019;-0.894;0;0
09:08:12.25;44.932092;37.336801;512.084;0.007;0.026;-0.894;0;0
09:08:13.46;44.931905;37.336288;513.109;0.005;0.03;-0.888;0;0
09:08:14.47;44.931641;37.335704;514.014;0.01;0.023;-0.89;0;0
09:08:14.88;44.931511;37.335377;514.014;0.009;0.028;-0.892;0;0
09:08:15.89;44.931344;37.334975;514.632;0.138;0.077;-0.607;0;0
09:08:18.11;44.931716;37.335281;515.201;-0.002;-0.131;0.764;0;0
09:08:19.12;44.93228;37.336088;515.344;0.035;-0.157;0.794;0;0
09:08:20.73;44.932825;37.336981;515.38;0.07;-0.253;0.74;0;0
09:08:22.14;44.933369;37.337965;515.462;0.098;-0.374;0.721;0;0
09:08:24.16;44.934167;37.339264;515.371;0.101;-0.585;0.703;0;0
09:08:26.39;44.934633;37.339956;515.46;0.072;-0.379;0.702;0;0
09:08:26.80;44.934728;37.340166;515.439;0.082;-0.344;0.705;0;0
09:08:27.41;44.934794;37.340329;515.405;0.082;-0.375;0.703;0;0
09:08:27.82;44.934907;37.340484;515.356;0.073;-0.351;0.702;0;0
09:08:28.43;44.935029;37.340638;515.305;0.112;-0.361;0.709;0;0
09:08:28.84;44.935118;37.34076;515.281;0.096;-0.354;0.703;0;0
09:08:29.45;44.935181;37.340818;515.228;0.061;-0.372;0.696;0;0
09:08:29.86;44.935217;37.340828;515.206;0.073;-0.356;0.695;0;0
09:08:30.47;44.935204;37.340812;515.177;0.101;-0.37;0.7;0;0
09:08:30.88;44.93511;37.340638;515.21;0.087;-0.34;0.695;0;0
09:08:31.48;44.935106;37.340631;515.218;0.093;-0.375;0.695;0;0
09:08:32.09;44.935111;37.340612;515.19;0.11;-0.38;0.695;0;0
09:08:32.50;44.935046;37.340517;515.15;0.093;-0.379;0.689;0;0
09:08:33.11;44.935077;37.340591;515.1;0.096;-0.389;0.688;0;0
09:08:33.51;44.935224;37.340857;515.059;0.098;-0.36;0.689;0;0
09:08:34.12;44.935296;37.340964;515.04;0.098;-0.365;0.688;0;0
09:08:34.52;44.935313;37.341011;515.012;0.096;-0.363;0.688;0;0
09:08:35.53;44.935384;37.341168;515.009;0.112;-0.374;0.689;0;0
09:08:36.13;44.935486;37.341258;515.015;0.094;-0.393;0.684;0;0
09:08:36.54;44.935537;37.341312;515.021;0.098;-0.379;0.684;0;0
09:08:37.15;44.935582;37.341404;515.03;0.105;-0.374;0.686;0;0
09:08:37.76;44.935615;37.34146;515.016;0.115;-0.377;0.686;0;0
09:08:38.17;44.935711;37.34153;515.004;0.108;-0.391;0.684;0;0
09:08:38.78;44.935767;37.341597;514.975;0.113;-0.365;0.684;0;0
09:08:39.18;44.93584;37.341685;514.983;0.117;-0.377;0.686;0;0
09:08:39.78;44.93588;37.341703;514.993;0.108;-0.358;0.684;0;0
09:08:40.19;44.935954;37.341798;514.993;0.113;-0.386;0.684;0;0
09:08:40.79;44.935989;37.341858;514.965;0.115;-0.379;0.684;0;0
09:08:41.20;44.936082;37.34195;514.972;0.103;-0.394;0.681;0;0
09:08:41.80;44.936142;37.342015;514.974;0.105;-0.379;0.681;0;0
09:08:42.41;44.936209;37.342101;514.973;0.112;-0.403;0.684;0;0
09:08:42.81;44.936234;37.34211;514.951;0.108;-0.354;0.684;0;0
09:08:43.43;44.936278;37.342165;514.944;0.101;-0.38;0.684;0;0
09:08:43.83;44.936358;37.342237;514.93;0.108;-0.382;0.686;0;0
09:08:44.45;44.93641;37.342278;514.888;0.108;-0.374;0.686;0;0
09:08:44.85;44.936446;37.342321;514.887;0.108;-0.36;0.684;0;0
09:08:45.47;44.936432;37.342367;514.901;0.113;-0.367;0.686;0;0
09:08:45.87;44.936483;37.342409;514.92;0.112;-0.358;0.686;0;0
09:08:46.89;44.936544;37.342468;514.959;0.094;-0.37;0.682;0;0
09:08:47.49;44.936554;37.342487;514.983;0.113;-0.391;0.684;0;0
09:08:48.10;44.936548;37.34246;514.989;0.122;-0.37;0.684;0;0
