time;lat;lon;alt;roll;pitch;head;ub;nsat
09:08:26.80;44.933028;37.338131;500.0;4.7;-19.7;40.4;0;1
09:08:27.41;44.933644;37.33889;500.0;4.7;-21.5;40.3;0;1
09:08:27.82;44.933986;37.339277;500.0;4.2;-20.1;40.2;0;1
09:08:28.43;44.934093;37.339611;500.0;6.4;-20.7;40.6;0;1
09:08:28.84;44.934161;37.339657;500.0;5.5;-20.3;40.3;0;1
09:08:29.25;44.934259;37.339681;500.0;3.6;-21.8;39.8;0;1
09:08:29.45;44.934301;37.339671;500.0;3.5;-21.3;39.9;0;1
09:08:29.66;44.934342;37.339678;500.0;3.4;-21.2;39.9;0;1
09:08:30.06;44.93441;37.339786;500.0;5.1;-22.2;40.1;0;1
09:08:30.47;44.93448;37.339906;500.0;5.8;-21.2;40.1;0;1
09:08:30.68;44.934472;37.339925;500.0;5.7;-20.5;39.9;0;1
09:08:31.08;44.93454;37.340014;500.0;4.9;-21.4;39.8;0;1
09:08:31.28;44.934551;37.340024;500.0;4.9;-21.0;39.8;0;1
09:08:31.48;44.934572;37.340049;500.0;5.3;-21.5;39.8;0;1
09:08:31.48;44.934585;37.340067;500.0;5.3;-21.5;39.8;0;1
09:08:31.69;44.934585;37.340074;500.0;5.8;-20.7;39.8;0;1
09:08:31.89;44.934588;37.34008;500.0;6.0;-20.5;39.8;0;1
09:08:32.29;44.934644;37.340162;500.0;5.7;-22.2;39.6;0;1
09:08:32.70;44.934673;37.340212;500.0;5.5;-21.3;39.6;0;1
