time;lat;lon;alt;roll;pitch;head;ub;nsat
09:08:06.14;44.93328;37.33873;500.0;0.7;1.7;-51.5;0;2
09:08:06.36;44.93328;37.33873;500.0;0.6;2.0;-51.4;0;2
09:08:06.56;44.93328;37.33873;500.0;0.5;1.8;-51.4;0;2
09:08:06.78;44.93328;37.33873;500.0;0.6;1.7;-51.4;0;2
09:08:07.00;44.93328;37.33873;500.0;1.1;1.6;-51.3;0;2
09:08:07.20;44.933302;37.338733;500.0;1.3;1.4;-51.3;0;1
09:08:07.60;44.933278;37.338748;500.0;0.7;2.2;-51.3;0;1
09:08:07.80;44.933261;37.338758;500.0;0.4;2.1;-51.3;0;2
09:08:08.01;44.933251;37.338764;500.0;0.4;2.3;-51.3;0;2
09:08:08.21;44.933233;37.338784;500.0;0.4;2.5;-51.3;0;2
09:08:08.41;44.933175;37.338821;500.0;0.8;2.3;-51.3;0;1
09:08:09.03;44.933174;37.338819;500.0;0.6;1.3;-51.3;0;1
09:08:09.23;44.933176;37.338831;500.0;0.8;1.9;-51.3;0;1
09:08:09.43;44.933166;37.338832;500.0;0.6;2.4;-51.2;0;1
09:08:09.63;44.933147;37.338814;500.0;0.3;2.4;-51.3;0;1
09:08:09.83;44.933129;37.338793;500.0;0.4;2.4;-51.3;0;1
09:08:10.03;44.933114;37.338791;500.0;0.3;2.2;-51.3;0;1
09:08:10.44;44.933125;37.338771;500.0;1.2;1.8;-51.4;0;1
09:08:10.64;44.933135;37.338756;500.0;1.5;1.4;-51.4;0;1
09:08:10.84;44.933142;37.338758;500.0;1.2;1.5;-51.4;0;1
09:08:11.04;44.933152;37.338744;500.0;0.8;1.6;-51.3;0;1
09:08:11.44;44.933162;37.33873;500.0;-0.6;1.3;-51.3;0;2
09:08:11.44;44.933174;37.338718;500.0;-0.6;1.3;-51.3;0;2
09:08:11.85;44.933176;37.338719;500.0;-0.2;1.1;-51.2;0;2
09:08:12.05;44.933184;37.338691;500.0;0.1;1.4;-51.2;0;1
09:08:12.25;44.9332;37.338671;500.0;0.4;1.5;-51.2;0;1
09:08:12.45;44.933203;37.338674;500.0;0.7;1.5;-51.1;0;1
